window GOBPID Pvalue OddsRatio ExpCount Count Size Term Pval_corr
Bd1_100_150 GO:0006952 0.000478028 5.247685185 1.924679266 8 872 defense_response 0.000608465
Bd1_1050_1100 GO:0001101 0.000668135 5.654115432 1.543661195 7 746 response_to_acid_chemical 0.00153065
Bd1_1050_1100 GO:1901700 0.00153065 4.380359046 2.31135329 8 1117 response_to_oxygen-containing_compound 0.00153065
Bd1_1075_1125 GO:1901700 5.11E-06 7.383614627 2.23430818 11 1117 response_to_oxygen-containing_compound 8.18E-05
Bd1_1075_1125 GO:0042221 1.69E-05 5.494272569 4.230583529 14 2115 response_to_chemical 0.000134902
Bd1_1075_1125 GO:0010033 3.16E-05 5.98260005 2.704373017 11 1352 response_to_organic_substance 0.000168677
Bd1_1075_1125 GO:0001101 7.74E-05 7.087882307 1.492205821 8 746 response_to_acid_chemical 0.000309427
Bd1_1075_1125 GO:0097305 0.000136622 9.058937198 0.822113395 6 411 response_to_alcohol 0.000437192
Bd1_1075_1125 GO:0033993 0.000221081 8.259495534 0.898123879 6 449 response_to_lipid 0.00058955
Bd1_1075_1125 GO:0007165 0.00051661 5.272380952 1.96627121 8 983 signal_transduction 0.000974396
Bd1_1075_1125 GO:0044700 0.00066555 5.060311193 2.042281694 8 1021 single_organism_signaling 0.000974396
Bd1_1075_1125 GO:0023052 0.000669897 5.054945055 2.04428197 8 1022 signaling 0.000974396
Bd1_1075_1125 GO:0051716 0.000863051 4.157117887 3.272451373 10 1636 cellular_response_to_stimulus 0.001150734
Bd1_1075_1125 GO:0009725 0.001549875 4.877949928 1.786246379 7 893 response_to_hormone 0.001778943
Bd1_1075_1125 GO:0050896 0.001667759 3.208276925 8.89922748 17 4449 response_to_stimulus 0.001778943
Bd1_1075_1125 GO:0009719 0.001959024 4.669654289 1.860256587 7 930 response_to_endogenous_stimulus 0.001959024
Bd1_1100_1150 GO:0009266 0.000506063 7.09744898 1.054076424 6 566 response_to_temperature_stimulus 0.001045863
Bd1_1100_1150 GO:0044711 0.000568357 4.26215796 3.763760519 11 2021 single-organism_biosynthetic_process 0.001101191
Bd1_1100_1150 GO:0044281 0.001122641 3.884564568 4.072906608 11 2187 small_molecule_metabolic_process 0.001684838
Bd1_1100_1150 GO:0006950 0.001467439 3.611890244 4.909090909 12 2636 response_to_stress 0.001684838
Bd1_1125_1175 GO:0006073 6.63E-06 12.05489289 0.735204856 7 323 cellular_glucan_metabolic_process 1.66E-05
Bd1_1125_1175 GO:0044042 6.63E-06 12.05489289 0.735204856 7 323 glucan_metabolic_process 1.66E-05
Bd1_1125_1175 GO:0044264 2.57E-05 9.690930553 0.905918058 7 398 cellular_polysaccharide_metabolic_process 4.28E-05
Bd1_1125_1175 GO:0005976 6.46E-05 8.327729665 1.047040971 7 460 polysaccharide_metabolic_process 8.07E-05
Bd1_1125_1175 GO:0044262 0.000121785 7.488584125 1.158573596 7 509 cellular_carbohydrate_metabolic_process 0.000121785
Bd1_1275_1325 GO:0006468 0.001351847 4.684097421 2.324182646 8 1404 protein_phosphorylation 0.001622216
Bd1_1300_1350 GO:0071704 0.001260978 6.735769188 14.8969513 22 8999 organic_substance_metabolic_process 0.001688339
Bd1_1325_1375 GO:0071704 0.000106982 14.7021727 15.51765761 24 8999 organic_substance_metabolic_process 0.000570569
Bd1_1325_1375 GO:0044238 0.000272577 8.10880066 14.67616223 23 8511 primary_metabolic_process 0.001090308
Bd1_1325_1375 GO:0019637 0.001210499 5.2395 1.736446406 7 1007 organophosphate_metabolic_process 0.001724376
Bd1_1450_1500 GO:0010033 0.00105482 4.884672619 2.238101807 8 1352 response_to_organic_substance 0.001655401
Bd1_1475_1525 GO:0009719 0.00161453 5.867099567 1.347082356 6 930 response_to_endogenous_stimulus 0.00161453
Bd1_1525_1575 GO:0009725 0.000336642 6.710143905 1.416678163 7 893 response_to_hormone 0.000860306
Bd1_1525_1575 GO:0009719 0.000431344 6.423618635 1.475375914 7 930 response_to_endogenous_stimulus 0.000901901
Bd1_1525_1575 GO:0007165 0.000603445 6.051037398 1.559456477 7 983 signal_transduction 0.001156602
Bd1_1525_1575 GO:0050896 0.000661277 4.246025034 7.058008001 15 4449 response_to_stimulus 0.001168954
Bd1_1525_1575 GO:0044700 0.000757906 5.807877219 1.619740654 7 1021 single_organism_signaling 0.001168954
